Region,Code,Year,Type,Value
South-eastern Asia,,2020,Oilcrops,119
South-eastern Asia,,2020,Fish and seafood,81
South-eastern Asia,,2020,Sugar crops,6
South-eastern Asia,,2020,Sugar & sweeteners,289
South-eastern Asia,,2020,Starchy roots,122
South-eastern Asia,,2020,"Meat, other",0.07
South-eastern Asia,,2020,"Meat, sheep and goat",1.57
South-eastern Asia,,2020,"Meat, pig",59.11
South-eastern Asia,,2020,"Meat, poultry",59.94
South-eastern Asia,,2020,"Meat, beef",13.93
South-eastern Asia,,2020,Eggs,38
South-eastern Asia,,2020,Milk,32
South-eastern Asia,,2020,Nuts,6.31
South-eastern Asia,,2020,Fruit,102
South-eastern Asia,,2020,Vegetables,60
South-eastern Asia,,2020,Pulses,25
South-eastern Asia,,2020,Cereals,
South-eastern Asia,,2020,Other,
South-eastern Asia,,2020,Barley,5.91
South-eastern Asia,,2020,Maize,80.36
South-eastern Asia,,2020,Rice,1209.42
South-eastern Asia,,2020,Wheat,208.88
South-eastern Asia,,2021,Miscellaneous,3
South-eastern Asia,,2021,Alcoholic beverages,43
South-eastern Asia,,2021,Animal fats,24
South-eastern Asia,,2021,Vegetable oils,287
South-eastern Asia,,2021,Oilcrops,115
South-eastern Asia,,2021,Fish and seafood,80
South-eastern Asia,,2021,Sugar crops,4
South-eastern Asia,,2021,Sugar & sweeteners,284
South-eastern Asia,,2021,Starchy roots,118
South-eastern Asia,,2021,"Meat, other",0.19
South-eastern Asia,,2021,"Meat, sheep and goat",1.5
South-eastern Asia,,2021,"Meat, pig",58.89
South-eastern Asia,,2021,"Meat, poultry",61.56
South-eastern Asia,,2021,"Meat, beef",15.17
South-eastern Asia,,2021,Eggs,38
South-eastern Asia,,2021,Milk,34
South-eastern Asia,,2021,Nuts,6.7
South-eastern Asia,,2021,Fruit,110
South-eastern Asia,,2021,Vegetables,61
South-eastern Asia,,2021,Pulses,23
South-eastern Asia,,2021,Cereals,
South-eastern Asia,,2021,Other,
South-eastern Asia,,2021,Barley,2.01
South-eastern Asia,,2021,Maize,78.74
South-eastern Asia,,2021,Rice,1202.93
South-eastern Asia,,2021,Wheat,208.79
Southern Africa,,2020,Miscellaneous,4
Southern Africa,,2020,Alcoholic beverages,152
Southern Africa,,2020,Animal fats,14
Southern Africa,,2020,Vegetable oils,432
Southern Africa,,2020,Oilcrops,25
Southern Africa,,2020,Fish and seafood,12
Southern Africa,,2020,Sugar crops,0
Southern Africa,,2020,Sugar & sweeteners,308
Southern Africa,,2020,Starchy roots,84
Southern Africa,,2020,"Meat, other",5.43
Southern Africa,,2020,"Meat, sheep and goat",18.61
Southern Africa,,2020,"Meat, pig",31.3
